number,post date,ex/eff date, title
55271,Sep-26-2024,Sep-27-2024,"Multiple Flex Position Consolidations"
55266,Sep-25-2024,Sep-26-2024,"iShares Russell 2000 ETF - Flex Position Consolidations Option Symbol: 1IWM"
55263,Sep-24-2024,Sep-30-2024,"Ecofin Global Water ESG Fund - Name/Symbol Change Option Symbol: EBLU New Symbol: TBLU"
55262,Sep-24-2024,Sep-26-2024,"Defiance S&P 500 Enhanced Options Income ETF - Name/Symbol Change Option Symbols: JEPY/JEPY1 New Symbols: WDTE/WDTE1"
55244,Sep-23-2024,Sep-24-2024,"S&P 500 INDEX PM/EURO - Flex Position Consolidation Option Symbol: 4SPX"
55233,Sep-20-2024,Sep-23-2024,"Multiple Flex Position Consolidations"
55216,Sep-19-2024,Sep-20-2024,"Multiple Flex Position Consolidations"
55209,Sep-18-2024,,"Acceleration of Expirations/September 2024 Expiration"
55199,Sep-17-2024,Sep-18-2024,"RUSSELL 2000 INDEX AM/EURO - Flex Position Consolidation Option Symbol: 2RUT"
55191,Sep-16-2024,Sep-17-2024,"The Financial Select Sector SPDR Fund - Flex Position Consolidations Option Symbol: 1XLF"
55180,Sep-12-2024,Sep-13-2024,"XP Inc. - Flex Position Consolidation Option Symbol: 1XP"
55175,Sep-11-2024,Sep-12-2024,"Solaris Oilfield Infrastructure, Inc. - Name/Symbol Change Option Symbol: SOI New Symbol: SEI"
55173,Sep-11-2024,Sep-12-2024,"Avis Budget Group, Inc. - Flex Position Consolidation Option Symbol: 1CAR"
55164,Sep-10-2024,Sep-11-2024,"S&P 500 INDEX PM/EURO - Flex Position Consolidation Option Symbol: 4SPX"
55161,Sep-09-2024,Sep-10-2024,"Liberty SiriusXM Series C - Contract Adjustment Option Symbol: LSXMK New Symbol: SIRI3"
55160,Sep-09-2024,Sep-10-2024,"Liberty SiriusXM Series A - Contract Adjustment Option Symbol: LSXMA New Symbol: SIRI2"
55159,Sep-09-2024,Sep-10-2024,"Sirius XM Holdings, Inc. - Contract Adjustment Option Symbol: SIRI New Symbol: SIRI1"
