Old Ticker,New Ticker,Effective Date
PTOO,PTOOE,4/7/2015
KGNRE,KGNR,4/7/2015
IBXM,IBXME,4/7/2015
HANC,HANC,PREF A 4/7/2015
EAC,SFG,4/7/2015
ANEC,ANECE,4/7/2015
AMIB,AMIBE,4/7/2015
ONNN,ON,4/6/2015
VSCI,CGNT,4/1/2015
VLCCF,GOGL,4/1/2015
USPO,ONFA,4/1/2015
NXRT.V,NXRT,4/1/2015
JMG.V,JMG,4/1/2015
BLVIS,A,BLVIS 4/1/2015
GLSO,GLSOD,3/31/2015
HVCWE,HVCW,3/30/2015
ENVVE,ENVV,3/30/2015
STXY,STXYD,3/26/2015
ENVV,ENVVE,3/26/2015
PLFXE,PLFX,3/25/2015
FXERE,FXER,3/25/2015
CEN.V,CEN.R,3/25/2015
PMCM,PMCMD,3/24/2015
OREOD,OREOE,3/24/2015
OREO,OREOE,3/24/2015
OREOD,OREDE,3/23/2015
OREO,OREDE,3/23/2015
DMRNE,DMRND,3/23/2015
DMRN,DMRND,3/23/2015
BRPCE,BRPC,3/23/2015
GEIG,GEIGD,3/20/2015
BRTSD,BRTS,3/20/2015
IMMAD,IMMA,3/19/2015
ATAOD,ATAO,3/19/2015
HTWO,ZAIS,3/18/2015
RFIE,CETH,3/16/2015
VSTT,CNCK,3/13/2015
TPMD,TPMDD,3/13/2015
DWTPD,BNKL,3/13/2015
DWTP,BNKL,3/13/2015
CNCKE,CNCK,3/13/2015
MDIT,MDITD,3/12/2015
EBML,EBMLD,3/12/2015
CYOE,MDITD,3/12/2015
QUOR,QUORD,3/10/2015
FCUVE,FCUV,3/10/2015
REMOE,TPHX,3/6/2015
REMO,TPHX,3/6/2015
KGNR,KGNRE,3/6/2015
GULDE,GULD,3/6/2015
SSNTD,SSNT,3/4/2015
CSVNE,CSVN,3/4/2015
NHLDD,NHLD,3/3/2015
REACD,REAC,3/2/2015
OREO,OREOD,3/2/2015
ATLS.V,ATLS,3/2/2015
ECRYE,ECRY,2/27/2015
CTBM,NEMD,2/27/2015
VSTT,CNCKE,2/26/2015
TBDY,B,TBDY 2/26/2015
REBLE,REBL,2/26/2015
PIRSE,PIRS,2/26/2015
MKAC,PIRS,2/26/2015
ITGUD,REBL,2/26/2015
ITGU,REBL,2/26/2015
HVCW,HVCWE,2/26/2015
ECRY,ECRYE,2/26/2015
CNCK,CNCKE,2/26/2015
ACTCD,OCAT,2/26/2015
ACTC,OCAT,2/26/2015
PRCD,LEAI,2/25/2015
LEAIE,LEAI,2/25/2015
