old_ticker,new_ticker,ex/eff_date,post_date,title,Classification
FLM,RBLD,Aug-01-2022,Jul-28-2022,First Trust Global Engineering and Construction ETF - Name/Symbol Change Option Symbol: FLM New Symbol: RBLD,Pure
VEC,VVX,Jul-08-2022,Jul-05-2022,"Vectrus, Inc. - Name/Symbol Change Option Symbol: VEC New Symbol: VVX",Pure
SWM,MATV,Jul-06-2022,Jul-05-2022,"Schweitzer-Mauduit International, Inc. - Name/Symbol Change Option Symbol: SWM New Symbol: MATV",Pure
LLNW,EGIO,Jun-16-2022,Jun-15-2022,"Limelight Networks, Inc. - Name/Symbol Change Option Symbol: LLNW New Symbol: EGIO",Pure
RLGY,HOUS,Jun-09-2022,Jun-07-2022,Realogy Holdings Corporation - Name/Symbol Change Option Symbol: RLGY New Symbol: HOUS,Pure
UEPS,LSAK,May-25-2022,May-24-2022,"Net 1 UEPS Technologies, Inc. - Name/Symbol Change Option Symbol: UEPS New Symbol: LSAK",Pure
RYB,GEHI,May-24-2022,May-20-2022,"RYB Education, Inc. - Name/Symbol Change Option Symbol: RYB New Symbol: GEHI",Pure
FLDM,LAB,Apr-06-2022,Apr-05-2022,Fluidigm Corporation - Name/Symbol Change Option Symbol: FLDM New Symbol: LAB,Pure
DRW,WTRE,Apr-20-2022,Mar-30-2022,WisdomTree Global ex-US Real Estate Fund - Name/Symbol Change Option Symbol: DRW New Symbol: WTRE,Pure
REPH,SCTL,Mar-22-2022,Mar-21-2022,"Recro Pharma, Inc. - Name/Symbol Change Option Symbol: REPH New Symbol: SCTL",Pure
VIACA,PARAA,Feb-17-2022,Feb-16-2022,ViacomCBS Inc. Class A - Name/Symbol Change Option Symbol: VIACA New Symbol: PARAA,Pure
AFIN,RTL,Feb-15-2022,Feb-14-2022,"American Finance Trust, Inc. - Name/Symbol Change Option Symbol: AFIN New Symbol: RTL",Pure
FVE,ALR,Jan-28-2022,Jan-27-2022,Five Star Senior Living Inc. - Name/Symbol Change Option Symbol: FVE New Symbol: ALR,Pure
ZIOP,TCRT,Jan-27-2022,Jan-26-2022,ZIOPHARM Oncology Inc - Name/Symbol Change Option Symbol: ZIOP New Symbol: TCRT,Pure
FTXD,ISHP,Jan-26-2022,Jan-25-2022,First Trust Exchange-Traded Fund VI First Trust Nasdaq Retail ETF - Name/Symbol Change Option Symbol: FTXD New Symbol: ISHP,Pure
CRY,AORT,Jan-24-2022,Jan-20-2022,"CryoLife, Inc. - Name/Symbol Change Option Symbol: CRY New Symbol: AORT",Pure
OSMT,RVLP,Jan-19-2022,Jan-18-2022,Osmotica Pharmaceuticals plc - Name/Symbol Change Option Symbol: OSMT New Symbol: RVLP,Pure
SINO,SGLY,Jan-07-2022,Jan-06-2022,"Sino-Global Shipping America, Ltd. - Name/Symbol Change Option Symbol: SINO New Symbol: SGLY",Pure
CLI,VRE,Dec-10-2021,Dec-09-2021,Mack-Cali Realty Corporation - Name/Symbol Change Option Symbol: CLI New Symbol: VRE,Pure
BRKS,AZTA,Dec-01-2021,Nov-30-2021,"Brooks Automation, Inc. - Name/Symbol Change Option Symbol: BRKS New Symbol: AZTA",Pure
PVAC,ROCC,Oct-18-2021,Oct-15-2021,Penn Virginia Corporation - Name/Symbol Change Option Symbol: PVAC New Symbol: ROCC,Pure
CPST,CGRN,Apr-22-2021,Apr-21-2021,Capstone Turbine Corporation - Name/Symbol Change Option Symbol: CPST New Symbol: CGRN,Pure
SNE,SONY,Apr-01-2021,Mar-24-2021,Sony Corporation - Name/Symbol Change Option Symbol: SNE New Symbol: SONY,Pure
